# Normalized additional velocity distribution: 
#   testing the radial profile of dark matter halos and MOND.
# by D. C. Rodrigues, A. Hernandez-Arboleda, A. Wojnar
# 
# NFW individual fits for 153 SPARC galaxies with Gaussian priors on YD and YB.
# 1st column: galaxy name.
# 2nd column: scale radius (r_s) [kpc].
# 3rd column: normalized scale radius (rsn = rs / rmax).
# 4th column: logarithm of the density rho_s (log rhos) [Msun / kpc^3].
# 5th column: stellar disk mass-to-light ratio (YD).
# 6th column: stellar bulge mass-to-light ratio (YB).
# 7th column: minimum chi-squared value (Chi2) (- 2 log likelihood + constant).
# 8th column: minimum effective chi-squared value (- 2 log posterior + constant).
# 9th column: number of data points for the galaxy circular velocity (N.Data).
# 
# Galaxy     	rs                 	rsn                 	log rhos          	YD                 	YB                 	Chi2               	Chi2eff             	N.Data
UGC06786   	11.337142938544469 	0.33295573975167314 	7.461404546451406 	0.3445901264467869 	0.6037486165398804 	29.30576416166274  	31.920123353145605  	45    
UGC06787   	9999.997044095793  	268.8894069399245   	3.715009135294212 	1.8056560685724816 	0.4632322956814177 	1217.1083112902984 	1249.4696462169381  	71    
UGC06818   	9999.999992504841  	1432.6647553731864  	3.317233038316822 	0.37923817089650186	--                 	17.7335960536187   	19.17498745530393   	8     
UGC06917   	16.870109457004574 	1.6112807504302362  	6.593037065173628 	0.46828020368150763	--                 	7.0595218223261105 	7.1405429232493685  	11    
UGC06923   	97.88363988173774  	18.96969765149956   	5.582311338715512 	0.473334432237603  	--                 	3.6996888277587274 	3.7563419026016103  	6     
UGC06930   	9.95187229433485   	0.5991494457757285  	6.881339241495413 	0.49491288517151133	--                 	2.215123560889212  	2.217096025201064   	10    
UGC06983   	8.376378732442225  	0.5342078273241215  	7.089840288678831 	0.48905322870291407	--                 	8.932266882395032  	8.94150953952321    	17    
UGC07089   	9999.988393172986  	1091.701789647706   	3.2452897314909745	0.4624204183750651 	--                 	2.371305925113303  	2.4864507878449125  	12    
UGC07125   	14.079465272055788 	0.7537186976475262  	6.096708928890737 	0.4834038535372977 	--                 	9.342201146590462  	9.363692402241515   	13    
UGC07151   	9.70052359433547   	1.7637315626064491  	6.66216361589697  	0.7118334424342312 	--                 	21.809416104658812 	24.162829310421852  	11    
UGC07232   	9278.543742044894  	11315.297246396212  	3.7340977513582803	0.46675803549792805	--                 	4.60899179348063   	4.698262483163486   	4     
UGC07261   	4.415521111694358  	0.6619971681700687  	7.282479905805616 	0.49116135941958905	--                 	0.23125078360933127	0.23725054336849238 	7     
UGC07323   	9999.999985613964  	1718.2130559474165  	3.467465950721111 	0.4540616308466172 	--                 	5.117532528920184  	5.292718302884424   	10    
UGC07399   	5.797751594728534  	0.9457996076229256  	7.443086873311331 	0.47982242700261724	--                 	8.04221276484242   	8.074216047091753   	10    
UGC07524   	19.537983979436987 	1.8276879307237595  	6.231188389778636 	0.46189013509421734	--                 	23.151811381820416 	23.27036294441489   	31    
UGC07559   	9982.840523898209  	3945.7867683392133  	3.0009047765246786	0.48618773231610085	--                 	2.0939678934797277 	2.108769068504066   	7     
UGC07577   	9993.597910708642  	5913.371544798013   	2.2398273603210166	0.48744836374294864	--                 	1.331059672766831  	1.3432508964232381  	9     
UGC07603   	9.105940728954177  	2.2155573549766854  	6.799162633871028 	0.47444726094185824	--                 	15.035717985840934 	15.087620214392194  	12    
UGC07690   	1.457934614267994  	0.3530108024861971  	7.957505363206099 	0.5030742178901493 	--                 	1.6772405589502153 	1.6779492133517953  	7     
UGC07866   	11.965012642664075 	5.157333035631067   	6.0880957662871715	0.5014084206219775 	--                 	0.21810043847582158	0.21824967374023765 	7     
UGC08286   	5.386805551329923  	0.6700006904639209  	7.255598805018789 	0.6489074142135429 	--                 	34.35300349059969  	35.63471575848077   	17    
UGC08490   	3.1831561338005194 	0.3136114417537457  	7.6611017602399425	0.4984450106890486 	--                 	3.1475444393389735 	3.1477274329090443  	30    
UGC08550   	4.574818437640982  	0.8535109025449592  	7.091954776291829 	0.5435590557390876 	--                 	6.612495672726337  	6.744095795275278   	11    
UGC08699   	26.812269382310227 	1.0432789642922267  	6.499901818977669 	0.8209966941746943 	0.6598763358775506 	24.982190250786918 	29.79133680172026   	41    
UGC08837   	9999.83197030557   	2380.912373882278   	2.9387615467931556	0.4409441899036536 	--                 	24.267395568199667 	24.565362854557236  	8     
UGC09037   	58.45800847470399  	2.090772835289842   	5.91708501237914  	0.22984195569455643	--                 	35.51112105904885  	46.90449320348817   	22    
UGC09133   	41.11965009585058  	0.3796477711739505  	6.28265343303893  	0.7793147856260038 	0.5383808588794523 	444.345770263942   	448.2822330545432   	68    
UGC09992   	0.9075159057876513 	0.23329457732330366 	7.810018697755688 	0.49987840577242204	--                 	0.03676018658986296	0.036761302322549864	5     
UGC10310   	7.3548469791818505 	0.9502386278012726  	6.845175108009686 	0.5191192281645944 	--                 	2.7909031301976746 	2.817462713213837   	7     
UGC11455   	948.5130383524329  	22.621346013652108  	4.683186955694435 	0.5480724806239718 	--                 	167.2897137829275  	167.44865946024106  	36    
UGC11557   	9999.9970186172    	946.9694146417803   	3.0203453567642025	0.40395120995405687	--                 	12.119778126458241 	12.978015301101347  	12    
UGC11820   	25.467246958880125 	1.6098133349481747  	5.992462423049988 	0.5998905039699814 	--                 	9.473401339270175  	10.099113709861669  	10    
UGC11914   	9999.847422322788  	1017.2784763298869  	4.273366027879462 	0.3916951679846295 	0.9981188179567191 	48.07362905084959  	54.08316104869412   	65    
UGC12506   	10.194157231799332 	0.20392392942187104 	7.5735444559797   	0.46881752969146795	--                 	4.683417696924161  	4.761628319699928   	31    
UGC12632   	8.536238046737848  	0.8007727998815992  	6.718573705532755 	0.5095154637697961 	--                 	4.414604073341688  	4.421307367943782   	15    
UGC12732   	14.393741514577984 	0.9346585399076612  	6.497389096831943 	0.5100440775313818 	--                 	2.9070996957061643 	2.914560689964987   	16    
UGCA442    	22.243303941746078 	3.51395006978611    	6.029207688953454 	0.5042028614712425 	--                 	12.29030025909579  	12.291621800966933  	8     
UGCA444    	5695.073468934283  	2173.692163715375   	3.4340192747921248	0.4989749633445529 	--                 	2.0047421240414023 	2.004821556591093   	36    
